revenue,vote_average,genre
373554033,7.7,Animation
262797249,6.9,Adventure
81452156,6.1,Comedy
76578911,5.7,Comedy
187436818,7.7,Action
64350171,5.5,Action
352194034,6.6,Adventure
107879496,6.5,Comedy
11348324,7.1,Family
13681765,7.1,History
10017322,5.7,Action
116112375,7.8,Drama
135000000,7.2,Drama
4300000,6.5,Crime
212385533,6.1,Crime
35431113,5.4,Action
115101622,6.4,Comedy
30303072,6,Action
49800000,7.1,Drama
27400000,6.6,Comedy
1738611,7.6,Fantasy
180000000,6.4,Drama
168840000,7.4,Science Fiction
254134910,6,Fantasy
39363635,7.3,Drama
676525,6.7,Drama
122195920,5.4,Action
21284514,6.7,Fantasy
23574130,6.5,Drama
327311859,8.1,Crime
346079773,6.7,Adventure
23341568,8.1,Drama
6700000,6.7,Comedy
17519169,6.3,Comedy
106269971,6.9,Music
2409225,2.8,Action
28215918,7,Comedy
25836616,6.9,Horror
11534477,4.1,Action
718490,7,Comedy
19030691,5.1,Drama
2042530,3.9,Comedy
5781885,6.1,Horror
529766,6.7,Drama
10300000,6.3,Action
8175346,6.1,Crime
12379402,5.7,Drama
19800000,4.5,Comedy
150270147,5.7,Action
560069,6.8,Comedy
41205099,6.5,Comedy
182016617,7.3,Drama
34327391,6.5,Action
210000000,7.7,Action
28262574,8.1,Crime
32392047,6.5,Crime
6278139,5.1,Comedy
70100000,5.4,Comedy
14702438,6.3,Comedy
9851610,5.1,Action
209935,3.8,Comedy
185260553,6.7,Comedy
141407024,6.5,Action
851545,6,Romance
355237933,7.3,Drama
31596911,6.5,Adventure
336529144,5.2,Action
1275000,6.8,Comedy
178104,5.9,Action
287928194,6,Fantasy
13071518,6.8,Mystery
152022101,5,Action
157387195,7,Action
3174695,7.6,Documentary
25405445,6.8,Thriller
16140822,6.3,Drama
366101666,6.9,Action
127600435,5.9,Action
7563728,6.2,Action
19075720,5.5,Adventure
113493481,5.4,Science Fiction
17014653,4,Comedy
7412216,6.8,Drama
1148752,7.2,Drama
15453274,5.5,Drama
2122561,6.8,Romance
66000000,5.2,Action
110627965,5.6,Crime
69660733,5.5,Comedy
472370,5.8,Comedy
10382407,5.5,Drama
20350754,4.9,Drama
8349430,7.2,Comedy
50892160,5.7,Comedy
113374103,5.5,Science Fiction
7959291,6.8,Crime
5780000,4.6,Thriller
7025496,6.1,Drama
339889,6.5,Drama
47774193,6.3,Comedy
104324083,5.6,Action
50012507,6.5,Drama
264218220,5.9,Adventure
2616503,6.7,Drama
763847,7.7,Drama
5535405,7.7,Drama
26488734,6.2,Comedy
23450000,6.3,Comedy
3151130,7.4,Comedy
22200000,6.3,Romance
214015089,5.9,Drama
247275374,6.5,Comedy
7294403,7.5,Comedy
6841570,4.3,Thriller
5887457,7.3,Comedy
35348597,6.7,Romance
12201255,5,Drama
3992809,3,Drama
7830611,7.7,Documentary
3049135,6.9,Drama
26325256,6,Comedy
17689177,6,Comedy
223664608,7.2,Horror
2474000,5.2,Drama
37000000,4.7,Comedy
775398007,8.1,Adventure
21665468,6.6,Drama
160638883,7.2,Adventure
7603766,6.4,Drama
112006296,6.1,Drama
18137661,5.6,Comedy
46264384,6.4,Fantasy
17381942,6.9,Crime
106683817,6.1,Drama
50282766,6.9,Crime
2201126,7.6,Drama
189859560,6.4,Action
45284974,8.2,Thriller
2832826,6.6,Comedy
213928762,8.3,Thriller
6834525,6.4,Drama
152322,6.1,Comedy
4176932,6.4,Drama
18552460,6.2,Action
12400000,6.4,Drama
11300653,5.3,Drama
9771658,6.5,Animation
170362582,5.5,Action
196567262,6.8,Action
189833357,6.3,Fantasy
28341469,8.5,Drama
102780,6,Drama
4064495,5.5,Action
120000000,6.4,Science Fiction
12000000,5.4,Crime
32648673,6.8,Comedy
10032765,7.5,Romance
24048000,5.4,Action
182057016,6.5,Comedy
759393,5.5,Comedy
15119639,6.9,Drama
107217396,6.4,Comedy
11220670,7.2,Drama
1862805,7,Thriller
215887717,6.4,Action
117615211,6.4,Drama
94000000,7.3,Fantasy
1007583,6.1,Drama
341631208,5,Fantasy
677945399,8.2,Comedy
254700832,6.6,Comedy
38290723,6.4,Romance
1777020,6.3,Comedy
